"To investigate the efficacy of 6 weeks of daily low-dose oral prednisolone in improving pain , mobility , and systemic low-grade inflammation in the short term and whether the effect would be sustained at 12 weeks in older adults with moderate to severe knee osteoarthritis ( OA ) .There was a clinically relevant reduction in the intervention group compared to the placebo group for knee pain , physical function , PGA , and 6MWD at 6 weeks . The mean difference between treatment arms ( 95 % CI ) was 10.9 ( 4.8-18 .0 ) , p < 0.001 ; 9.5 ( 3.7-15 .4 ) , p < 0.05 ; 15.7 ( 5.3-26 .1 ) , p < 0.001 ; and 86.9 ( 29.8-144 .1 ) , p < 0.05 , respectively . Further , there was a clinically relevant reduction in the serum levels of IL-1 , IL-6 , TNF - , and hsCRP at 6 weeks in the intervention group when compared to the placebo group . These differences remained significant at 12 weeks . The Outcome Measures in Rheumatology Clinical Trials-Osteoarthritis Research Society International responder rate was 65 % in the intervention group and 34 % in the placebo group ( p < 0.05 ) .","Low-dose oral prednisolone had both a short-term and a longer sustained effect resulting in less knee pain , better physical function , and attenuation of systemic inflammation in older patients with knee OA ( ClinicalTrials.gov identifier NCT01619163 ) ."
"Emotional eating is associated with overeating and the development of obesity . Yet , empirical evidence for individual ( trait ) differences in emotional eating and cognitive mechanisms that contribute to eating during sad mood remain equivocal .The aim of this study was to test if attention bias for food moderates the effect of self-reported emotional eating during sad mood ( vs neutral mood ) on actual food intake . It was expected that emotional eating is predictive of elevated attention for food and higher food intake after an experimentally induced sad mood and that attentional maintenance on food predicts food intake during a sad versus a neutral mood .Hierarchical multivariate regression modeling showed that self-reported emotional eating did not account for changes in attention allocation for food or food intake in either condition . Yet , attention maintenance on food cues was significantly related to increased intake specifically in the neutral condition , but not in the sad mood condition .","The current findings show that self-reported emotional eating ( based on the DEBQ ) might not validly predict who overeats when sad , at least not in a laboratory setting with healthy women . Results further suggest that attention maintenance on food relates to eating motivation when in a neutral affective state , and might therefore be a cognitive mechanism contributing to increased food intake in general , but maybe not during sad mood ."
"Although working smoke alarms halve deaths in residential fires , many households do not keep alarms operational . We tested whether theory-based education increases alarm operability . http://www.clinicaltrials.gov number NCT00139126 .Homes in the Full Education and Practice arms were more likely to have a functioning smoke alarm at follow-up ( OR = 2.77 , 95 % CI 1.09 to 7.03 ) and had an average of 0.32 more working alarms per home ( 95 % CI 0.09 to 0.56 ) . Working alarms per home rose 16 % . Full Education and Practice had similar effectiveness ( p = 0.97 on both outcome measures ) .","Without exceeding typical fire department installation time , installers can achieve greater smoke alarm operability . Hands-on practice is key . Two years after installation , for every three homes that received hands-on practice , one had an additional working alarm ."
"This study was sponsored by a grant from the pharmaceutical company Laboratoires Urgo . S. Bohbot and O. Tacca are employees of Laboratoires Urgo . S. Meaume , J. Dissemond and G. Perceau have received monetary compensation as presenters for Laboratoires Urgo . Data management and statistical analyses were conducted independently by Vertical ( Paris , France ) .To evaluate the performance ( efficacy , safety and acceptability ) of a new micro-adherent absorbent dressing ( UrgoClean ) compared with a hydrofiber dressing ( Aquacel ) in the local management of venous leg ulcers , in the debridement stage .Altogether , 159 patients were randomised to either UrgoClean ( test group ; n = 83 ) or Aquacel ( control group ; n = 76 ) dressings . Regarding the wound healing process predictive factors ( wound area , duration , ABPI value , recurrence ) , at baseline , the two groups were well balanced , for both wound and patient characteristics . Compression therapy was administered to both groups and after a median 42-day treatment period , the percentage of relative reduction of the wound surface area was very similar ( -36.9 % vs -35.4 % in the UrgoClean and control groups , respectively ) . When considering the secondary criteria at week 6 , the relative reduction of sloughy tissue was significantly higher in the UrgoClean group than in the control group ( -65.3 % vs -42,6 % ; p = 0.013 ) . The percentage of debrided wounds was also significantly higher in the test group ( 52.5 % vs 35.1 % ; p = 0.033 ) .","This ` EARTH ' RCT confirmed that the UrgoClean dressing has similar efficacy and safety compared to Aquacel . However , UrgoClean also showed better autolytic properties than the control group in the management of venous leg ulcers at the sloughy stage . The new UrgoClean dressing therefore represents a promising therapeutic option within the current range of autolytic dressings available ."
"Eye movements ( EM ) during recall of an aversive memory is a treatment element unique to Eye Movement Desensitization and Reprocessing ( EMDR ) . Experimental studies have shown that EM reduce memory vividness and/or emotionality shortly after the intervention . However , it is unclear whether the immediate effects of the intervention reflect actual changes in memory . The aim of this study was to test whether immediate reductions in memory vividness and emotionality persist at a 24h follow up and whether the magnitude of these effects is related to the duration of the intervention .In both duration groups , recall with EM , but not recall only , caused an immediate decrease in memory vividness . There were no immediate reductions in memory emotionality . Furthermore , only the ` eight periods ' group showed that recall with EM , but not recall only , caused a decrease in both memory emotionality and memory vividness from the pre-test to the follow-up .","Only self-report measures were used . The findings suggest that recall with EM causes 24-hchanges in memory vividness/emotionality , which may explain part of the EMDR treatment effect , and these effects are related to intervention duration ."
"Few studies have tested the impact of motivational interviewing ( MI ) delivered by primary care providers on pediatric obesity . This study tested the efficacy of MI delivered by providers and registered dietitians ( RDs ) to parents of overweight children aged 2 through 8 .At 2-year follow-up , the adjusted BMI percentile was 90.3 , 88.1 , and 87.1 for groups 1 , 2 , and 3 , respectively . The group 3 mean was significantly ( P = .02 ) lower than group 1 . Mean changes from baseline in BMI percentile were 1.8 , 3.8 , and 4.9 across groups 1 , 2 , and 3 .","MI delivered by providers and RDs ( group 3 ) resulted in statistically significant reductions in BMI percentile . Research is needed to determine the clinical significance and persistence of the BMI effects observed . How the intervention can be brought to scale ( in particular , how to train physicians to use MI effectively and how best to train RDs and integrate them into primary care settings ) also merits future research ."
"Antithrombin ( AT ) concentrations are reduced after cardiac surgery with cardiopulmonary bypass compared with the preoperative levels . Low postoperative AT is associated with worse short - and mid-term clinical outcomes . The aim of the study is to evaluate the effects of AT administration on activation of the coagulation and fibrinolytic systems , platelet function , and the inflammatory response in patients with low postoperative AT levels .Compared with the no AT group and control patients , patients receiving AT showed significantly higher AT values until 48 hours after the last administration . Analysis of variance for repeated measures showed a significant effect of study treatment in reducing prothrombin fragment 1-2 ( p = 0.009 ; interaction with time sample , p = 0.006 ) and plasmin-antiplasmin complex ( p < 0.001 ; interaction with time sample , p < 0.001 ) values but not interleukin 6 ( p = 0.877 ; interaction with time sample , p = 0.521 ) and platelet factor 4 ( p = 0.913 ; interaction with time sample , p = 0.543 ) . No difference in chest tube drainage , reopening for bleeding , and blood transfusion was observed .",Antithrombin administration in patients with low AT activity after surgery with cardiopulmonary bypass reduces postoperative thrombin generation and fibrinolysis with no effects on platelet activation and inflammatory response .
"Early invasive management is recommended for high-risk non-ST-segment elevation acute coronary syndromes .We evaluated patients at tertiary [ both percutaneous coronary intervention ( PCI ) and coronary artery bypass grafting ( CABG ) capable ] and primary hospitals in the EARLY-ACS trial .There were 348 tertiary ( n = 7,455 patients ) and 89 primary hospitals [ n = 1,749 patients ( 729 transferred ; 1,020 non-transfer ) ] . Significant delays occurred in time from symptom onset to angiography ( 49 hr ) , PCI ( 53h ) , and CABG ( 178 hr ) for transferred patients ( P < 0.001 ) . Non-transfer patients had less 30-day death/myocardial infarction [ 9.4 % vs. 11.7 % ( tertiary ) ; adjusted odds ratio ( OR ) : 0.78 ( 0.62-0 .97 ) , P = 0.026 ] ; transferred ( 14.0 % ) and tertiary patients were similar [ adjusted OR : 1.23 ( 0.98-1 .53 ) , P = 0.074 ] . Non-transfer patients had lower 1-year mortality [ 4.3 % vs. 6.3 % ( tertiary ) ; adjusted hazard ratio ( HR ) : 0.64 ( 0.47-0 .87 ) , P = 0.005 ] : there was no difference between transferred and tertiary patients [ 5.2 % vs. 6.3 % ; adjusted HR : 0.80 ( 0.58-1 .12 ) , P = 0.202 ] . Despite similar rates of catheterization , GUSTO severe/moderate bleeding within 120 hr was less in non-transfer [ 3.1 % vs. 6.7 % ( tertiary ) ; adjusted OR : 0.47 ( 0.32-0 .68 ) , P < 0.001 ] , whereas transferred ( 6.1 % ) and tertiary patients were similar [ adjusted OR : 0.94 ( 0.68-1 .30 ) , P = 0.693 ] . There was no difference in non-CABG bleeding .",Timely angiography and revascularization were often not achieved in transferred patients . Non-transferred patients presenting to primary sites had the lowest event rates and the best long-term survival .
"We hypothesized that a targeted temperature of 33 C as compared to that of 36 C would increase survival and reduce the severity of circulatory shock in patients with shock on admission after out-of-hospital cardiac arrest ( OHCA ) .There was no significance difference between targeted temperature management at 33 C or 36 C on 180-day mortality [ log-rank test , p = 0.17 , hazard ratio 1.33 , 95 % confidence interval ( CI ) 0.88-1 .98 ] or ICU mortality ( 61 vs. 44 % , p = 0.06 ; relative risk 1.37 , 95 % CI 0.99-1 .91 ) . Serum lactate and the extended cardiovascular SOFA score were higher in the TTM33 group ( p < 0.01 ) .",We found no benefit in survival or severity of circulatory shock with targeted temperature management at 33 C as compared to 36 C in patients with shock on admission after OHCA .
"Youths with a family history of alcohol and other drug use disorders ( FH + ) are at a greater risk of developing substance use disorders than their peers with no such family histories ( FH - ) , and this increased risk may be related to impaired maturation of forebrain circuitry . FH + individuals have shown altered forebrain activity at rest and while performing cognitive tasks . However , it is not fully understood how forebrain activity is altered in FH + individuals , and ultimately how these alterations may contribute to substance use disorder risk .FH + youths had significantly greater cerebral activations in both the Go and Go/NoGo blocks than FH - youths in regions including the posterior cingulate/precuneus , bilateral middle/superior temporal gyrus , and medial superior frontal gyrus with no significant group differences in the subtraction between Go Only and Go/NoGo blocks . Additionally , FH + youths had moderately slower reaction times on go trials in the Go Only blocks .",Our findings suggest that global activation increase in FH + youths are modulated by FH density and are not specific to the inhibitory components of the task . This pattern of increased activations in FH + youths may be at least partially due to impaired forebrain white matter development leading to greater activations/less efficient neural communication during task performance .
